size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count
13737.551047475092,81.39985168494462,97.20250709487888,132.03344219278105,20.946704190532888,37.20680179952306,51.77782046775732,32.261915371923465,34.52000129434651,43.618295066272914,30.52526914097257,24.526385946887785,17.12435743038632,627
157003.36098404726,59.47218951558283,91.80807744006,117.71913390503379,42.88422541823982,50.95236858345486,46.177415522376954,45.981614298460165,52.964265003789855,54.24947890961325,64.11280640321283,20.190779927194317,21.68360810265062,18
258088.68401203517,60.10424124499002,91.26280618588457,125.6373549596385,28.627178159940094,52.25550593098352,49.269550964564104,19.945147883957695,20.820768606779385,26.018174094151348,9.227790582348579,23.273890064806903,10.203572234444907,19
194762.74597963627,108.97059266660317,166.9011482221588,229.91264233831313,28.5677786445381,52.56659086634017,90.1618205248287,52.360888503953134,56.2700781873241,35.80429817967875,163.4170466641348,39.328234099140545,22.771141900375103,354
24525.75412417004,65.5977821890615,90.41935336664612,131.00466607342508,24.06184769287986,45.4380639063603,51.37437885232354,28.9488154415842,38.56510159098078,43.917341197672826,49.19473807285899,27.86873152054025,17.32694089102423,302
154302.0015720506,59.41667382766094,93.40518422289728,140.2118525408049,25.81701212135992,57.35710333704379,54.98504021208045,30.545293360327573,40.417198146098066,53.66369428687954,33.35962035998362,42.15744295098131,21.087588521331053,711
182880.9857575925,63.24243516516017,99.53116508623071,144.65557588864885,26.98051884271087,56.2030837258953,56.7276768190778,36.353265301705754,52.13305973226626,63.728452006508505,41.599055881866306,42.604549638071376,25.113401056374666,418
64320.03040130397,83.6086797802889,129.90636805868016,181.55744496608386,36.441349772483285,53.99199668927264,71.19899802591526,31.093096575963727,51.9659845314324,52.5484488666377,64.87989008493469,46.624241035116206,21.360556349110826,354
81651.7607793396,44.27152456107956,74.57076914431593,123.68302198816694,31.137513323718146,62.39053798285325,48.50314587771264,21.867614758449307,29.99599444695113,53.151522954555965,34.315226051939874,54.572031579067634,20.86693209209491,305
163085.26460624,120.27877860394452,139.6308531696525,179.56780943826212,19.82888230690121,32.98983897181005,70.41874879931848,29.113974150545328,31.631755798928193,34.77177504097414,29.880732584798693,16.15181007532781,13.638495410989343,70
133164.55302710074,54.54491090305045,124.99591444496302,194.2582521073009,29.846724985698682,71.06158885191006,76.17970670874548,38.25038263266867,52.48650082840813,54.271293273873404,65.75085927295436,38.67950077402615,22.443541090400828,629
101355.07989991772,37.02077602108877,70.6124554001697,119.51839204447535,23.740845518039077,70.7966350707377,46.86995766450013,45.551614362862985,55.57945060812092,64.82716640128238,40.59089549734478,33.531321070429925,25.50350780038332,107
72215.30751957679,38.25333257214617,80.48631290497526,136.6602726952681,24.79500675240605,72.17432895743055,53.59226380206604,24.851534897504152,49.62162049054001,63.2159107772737,53.31456268792815,58.66500889647256,24.980602673592045,268
27640.940309708043,83.16314940826905,109.14558508858218,131.26661866563904,33.214654329406834,35.30190465338156,51.49927252792221,23.214072071785722,30.133982135548337,34.32040964176038,53.77904606678102,31.594553218381115,13.591339709300643,126
170264.17457015638,59.4756828203378,91.85934605258878,137.38982242879277,24.83106663854468,57.411882479585934,53.87836173678146,38.12165411468744,48.26081635063551,53.39948732883365,47.34253932091413,31.151319655634087,21.169761964276244,63
170530.70343910073,106.64542533064952,131.9112537470736,180.22376184593594,37.63314729687894,41.795427889189966,70.67598503762193,48.69272958236967,59.77368920492155,58.05740803248457,87.2078337880707,21.96183678261605,23.688364180995638,65
105968.53434380771,64.90853974121997,91.56585951940859,144.8055083179297,20.84816360179957,54.501204472308466,56.786473850168505,38.69558209049283,43.14659789437684,63.478480106328725,26.380202487478112,37.62098085440118,24.955149805134596,227
44091.03036158981,48.79515888036657,68.11716306405019,105.86783544177707,20.759061576886918,53.31908402856122,41.516798212461595,24.35772259177011,28.55176336504738,42.801867047548704,21.681493680358585,41.45567824762526,16.791741238001585,49
12147.824579515633,66.26642147373852,100.79715662235985,155.35064739536276,23.818055289472657,56.29734547485995,60.92182250798544,39.73743381442541,43.622785640457444,52.91348566360255,50.723618250883185,25.31943599114999,20.856971785557057,284
210015.06330500546,72.74209864181366,103.9306101140808,139.45671262420072,27.86661040140927,47.29290612000313,54.68890691145134,32.9541053462785,45.54276658624416,54.362610750840176,43.463661276021554,39.03784205861531,21.332537808618625,130
95256.5808862067,73.48370745294183,112.22075802273169,158.66409350244834,40.510673333211635,52.341225965377916,62.22121313821506,25.980729048417167,49.61490812247799,57.54460355411702,66.05526740226925,57.189605868508124,22.91870201127856,66
191042.60900115196,13.485690377290949,64.72778719531391,114.63913439183563,29.478839192605978,89.08427028650694,44.95652329091593,24.179438776312747,47.165434443460015,58.40146856690969,50.75073024217267,63.64591228671208,23.983435129358867,201
240722.42494156476,22.67247156803048,75.97934827443972,188.02024709787668,20.301211820859372,88.21207010842579,73.73343023446144,27.168803446990047,39.864863535633624,54.951489729968394,34.39281024510132,54.78375104541583,22.240563464578532,32
94684.79375298868,50.287451328642675,79.52803299405701,175.53655475100763,33.48580521553843,70.64725423412554,68.83786460823825,49.36959551895502,55.195695881756876,53.04775053595145,88.47864950905674,13.592401436257989,21.91004414577237,148
67716.64122480252,27.123669123669135,63.68978362526749,132.88305460886107,19.988913346051184,80.54264562862984,52.11100180739651,23.7442633813789,62.02679679306421,67.89326158427225,59.45891563470988,67.25204345789616,26.998277915409982,51
7378.820363707089,85.8382767674803,112.6778566566178,154.17467665078289,28.290152700198114,42.37645340152606,60.4606575101109,28.919961382154366,33.35122125662717,41.79940384302498,39.092612121644684,27.212516010216238,16.403415654467864,349
200185.10780781246,72.61645905641508,94.51158524030826,132.45183540208242,54.3441955787925,44.58526601563957,51.94938658444727,25.819409685458258,29.17100168093164,44.166745009828404,18.030904888792037,39.86582372477874,17.342446475649375,114
110005.49047948689,84.46682719802543,109.46605062757729,154.558444451133,25.66241579126122,46.97166059404058,60.61115468671891,57.4531218231627,61.37486020126935,58.3674227115508,94.38790046111305,14.792774868175636,24.65833959824154,449
91973.55726467248,78.49475463097956,104.01571528029844,152.630438016578,40.084613369780016,52.055058588217605,59.855073731991425,57.5183389825913,63.894106513944976,57.76994797694377,113.10571570021352,23.38791600654059,25.9542382392563,752
15422.150228902596,62.545026330413606,98.6767577866575,126.73817777660166,35.034899091412065,51.04690538097975,49.7012461869026,32.83106653155955,47.86423121847276,54.92072943927013,53.809906371545075,48.78535766116538,22.826170097040205,57
4526.519406057043,87.77874154660394,127.50323434284033,169.10239635401354,29.924692555614605,51.274762656501636,66.31466523686805,25.120445622872506,40.15157666286345,46.611793714882346,74.32832621651342,45.357910487587375,18.686628065530257,31
6998.555368017704,95.06137809912642,116.42002144013867,143.17505645142907,28.108455725478418,33.52091632853374,56.14708096134468,24.973019926087208,29.057796094404466,37.56814308897988,49.13828009297081,31.43670406002753,14.790238843689348,264
90482.08834021122,71.56823984052596,125.56712072462754,196.43956774148424,25.574203738989382,63.78076508368099,77.03512460450362,29.44249703344108,52.85262973264243,51.04199083490901,78.87054478396297,55.511624673229726,22.142978241325512,23
159508.72001388128,45.33150066927768,81.02166476624858,128.02151603787613,26.162706009037223,67.41905318115015,50.20451609328473,47.643288253566524,52.88776247321486,53.45499837521294,59.93847258169527,22.03502900569711,22.027160597609207,173
15523.155555555562,87.28523777327027,113.80378634212308,152.92305611899928,26.478086086167067,43.37134148844795,59.96982592901935,36.48719653192205,37.26763829168096,49.88431980311891,116.62829114521244,27.523855119095554,19.58870680993636,171
252079.36560244183,8.262841862785375,103.92124684547211,175.38444891132107,34.271473545829174,95.65257812895302,68.77821525934161,22.277181051067135,48.5451647468357,59.8926447744354,48.58431758350879,66.6920933730585,24.174422011272664,168
109830.84330142714,56.55509040041727,83.07171743857585,143.450972422623,26.58157411833366,60.26773874471698,56.25528330298936,26.351866957127953,44.09512844741781,63.00376737345865,37.60476845939779,57.97443875887128,24.864663232068512,329
102261.54985107998,49.80855459105345,72.83734108708113,113.09823772028496,36.720828751260015,55.66090137176257,44.352250086386256,30.032205353099197,46.66811393396647,55.192883709476405,53.493940768650276,45.68039387902143,21.776163397502025,65
105217.89340229184,15.437104051058741,65.5655290585258,142.8516419599768,22.960302586899243,89.12667105246504,56.0202517490105,18.809192270556846,54.342756107142506,66.97257397570212,47.107129040602224,73.17233810394754,26.732605749758765,126
78159.29153373765,58.256038091953364,125.36683624100634,208.64765901187013,28.56230773228947,72.32394967812617,81.82261137720391,53.143827511872026,52.77610267678025,47.207749933193085,174.4699746923084,20.200691188046832,21.799434925687553,243
76604.51559559364,68.72075146587709,119.00675850877856,159.04930031032268,33.142112808820194,56.92437311203754,62.37227463149905,50.71519794150692,59.57404233615179,58.825541395278094,90.59602767125362,35.86782308079219,26.132950919037533,288
102634.11299051877,66.01869655988617,104.68381404502607,164.5993271366072,42.572747351459675,64.02228496725076,64.68262963753868,66.81667200173084,65.16589555005983,53.415096163497395,184.81191877186205,28.994173655926343,26.845189048157497,260
