size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count,fire
21198.47,49.47756739,70.73911359,86.43095323,36.46926959,43.32108254,33.89449146,24.2887111,24.2548286,25.5974379,259.2134099,7.189592577,10.10235197,439,0
1047.692716,69.31420863,101.4448291,124.0058903,36.96834463,44.87776784,48.6297609,33.52324619,39.54635442,41.39530005,66.83491163,18.81467487,16.30948854,286,0
499.1210321,88.73807205,111.0754625,137.4082278,30.60587548,36.00195392,53.88557955,29.58775679,31.60606079,33.54865189,137.4685258,18.54160206,13.74592708,430,0
248653.4115,74.50495107,117.4869758,191.5748673,22.6494943,61.53023262,75.12739893,40.5461939,46.87158033,51.0167281,40.89578378,22.74023826,20.16870741,35,0
4414.282477,60.35448627,98.34895353,134.5285998,37.04120299,56.02623146,52.76160639,43.21171524,48.24332598,56.55575294,76.12402237,26.2745401,22.28551526,149,0
209347.4337,95.22855705,121.3957296,153.5727941,28.22207127,38.96430736,60.23017599,49.57048154,50.77523792,48.13984591,144.7626097,7.961280019,20.13377531,179,0
318.7089701,96.92956811,123.0624585,132.441196,44.10609862,28.07922961,51.93772393,23.79059589,26.1803994,26.42132868,69.43412942,12.0141423,10.48631215,48,0
3956.675457,62.20344201,81.00022254,129.1716183,23.74864232,50.17100263,50.65553657,34.86227476,40.06427771,36.29450473,99.81109024,19.69149487,16.60668438,170,0
42282.61568,62.19865738,87.93923806,117.7897793,31.15929228,47.12585632,46.19207032,32.68210126,40.15486706,46.53907969,36.85637432,29.86421038,18.30671341,165,0
98083.31811,79.45090814,110.7983336,143.9434827,35.86488945,44.1975213,56.45233534,36.85344692,40.57640279,45.64818814,31.37239827,19.57341363,17.95455833,145,0
43924.36963,86.18952712,105.8953831,155.9251109,22.21042832,46.14624899,61.14710231,36.80109199,43.83844673,40.84871111,112.1150399,20.39905641,17.37408914,186,0
203767.2238,83.58197022,116.6895157,155.3392216,28.76588664,47.36356741,60.91738212,50.87967819,50.9779544,52.90892798,313.8111418,8.17661735,21.01607656,523,0
93709.32909,81.0051631,106.2786659,141.7304789,34.14315367,45.5144062,55.93286736,59.93545315,68.33954411,64.27534642,101.3079221,16.93606669,27.41518863,164,0
330.0983676,92.96329189,114.7949759,139.2293834,27.8536346,32.67162192,54.5997582,17.02252725,17.09604802,19.67318762,129.8068219,20.3417541,8.062261758,297,0
13092.93101,73.20597098,98.04615038,128.7380598,37.57835203,41.7982808,50.48551364,28.17941235,38.001281,47.31348122,54.86723024,37.25910254,18.56783021,191,0
491.314336,119.1695858,142.9801687,158.6940043,36.37969997,25.12920121,62.23294285,21.32625383,22.32318911,23.33237915,127.9330703,10.81466008,9.262415445,165,0
169941.5585,14.2676244,44.57388846,122.2095836,24.40608787,87.97557553,47.9253269,24.93985439,29.96052235,54.16598804,26.15260709,53.89583997,21.247468,210,0
20262.11955,87.22831095,113.7195643,124.6612828,42.58805053,31.20404052,48.88677759,27.74062586,31.26801198,34.04853283,45.79270347,16.04400346,13.3721408,208,0
54845.03331,39.29824888,82.82129093,106.2490472,42.01275615,63.34944218,41.67180021,35.51449288,47.31610609,47.60546157,83.39900906,31.4206395,19.36162886,443,0
2676.098948,26.19008923,32.54893244,133.4952199,52.92191063,80.69194314,52.35106662,29.31078415,32.77168361,44.5325323,67.64249276,43.54194341,17.81772403,770,0
511.9698601,52.41415501,66.08799785,85,25.03517777,40.81005467,33.33333333,14.42687621,14.94859534,16.04960549,125.3084804,17.7222153,6.634226596,29,0
64195.19506,64.28511074,95.70219299,146.920828,22.73768558,57.44236623,57.61601097,49.22241604,51.38942187,48.25279592,138.7579215,9.437349424,20.39627875,174,0
5328.777742,90.78759261,109.3641211,138.0313848,25.7217396,34.39623234,54.12995484,47.8607974,51.68865623,50.736931,77.26413119,9.416409061,20.56323384,202,0
8180.641448,78.59620304,101.9530495,125.9009833,29.16951719,38.58995129,49.37293465,51.86310189,56.17062438,59.67227373,46.11371623,16.17649443,23.75501711,50,0
123774.36,90.36291267,112.056959,137.8364009,33.65544037,34.32988286,54.14152435,47.51572623,49.26081695,53.66035257,55.50988142,13.18770406,21.16169701,343,0
838.1493007,102.4174347,139.3377426,164.8710832,35.15721216,38.94832561,64.65532673,36.19107786,39.58757811,39.54469585,94.35426325,11.80869041,15.84150817,80,0
321.3759812,67.59105181,73.25510204,110.5804553,10.61575724,38.09025447,43.36488442,24.3276597,25.39867503,23.50582606,131.6001076,31.14873868,10.96612422,65,0
4277.317284,57.65452829,77.51483579,87.09349922,41.03500198,34.42549562,34.15431342,22.37469599,24.53210909,25.70384646,74.41824738,13.70836323,10.15581116,314,0
52.78947368,24.80549199,95.51716247,113.0938215,46.40171958,73.78959042,44.35051824,12.90157789,14.7236208,15.96208652,132.575138,40.95808188,6.902008718,30,0
4253.065232,75.81360059,100.1685381,124.6747613,30.95320649,38.22118082,48.89206324,32.41778865,37.41553885,42.22507953,48.33009244,20.66295716,16.63021197,405,0
10794.32027,64.17430164,86.58536988,100.3782857,36.95954016,37.81519262,39.3640336,45.18816375,47.90985753,50.10590422,61.08729553,9.841144817,19.68654758,641,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
