avg_h,avg_s,avg_v,avg_b,avg_g,avg_r,wavg_multiplier,size
22.5,24.281150159744417,27.276688453159043,52.666666666666664,59.0,69.55555555555556,6.354406427835124e-05,9
5.294117647058783,31.481481481481477,21.176470588235293,37.0,38.5,54.0,1.4120903172966942e-05,2
2.857142857142833,37.49999999999999,21.96078431372549,35.0,36.0,56.0,7.060451586483471e-06,1
41.53846153846155,19.877675840978586,25.647058823529413,52.400000000000006,61.400000000000006,65.4,3.5302257932417356e-05,5
22.69565217391306,36.36514937172339,32.7260348583878,53.104166666666664,64.58333333333333,83.45138888888889,0.0010167050284536198,144
37.14285714285711,33.87096774193547,24.313725490196077,41.0,54.0,62.0,7.060451586483471e-06,1
47.13584288052374,48.56915739268681,49.33333333333334,64.7,112.7,125.80000000000001,7.060451586483471e-05,10
1.3407821229050114,39.38393839383938,23.764705882352942,36.733333333333334,37.266666666666666,60.6,0.00010590677379725208,15
34.85896753592334,22.51287990734454,29.1371385349392,57.57270029673591,67.29080118694363,74.29970326409496,0.00237937218464493,337
48.0,42.168674698795186,32.549019607843135,48.0,76.0,83.0,7.060451586483471e-06,1
37.5,33.10344827586207,28.431372549019606,48.5,63.5,72.5,1.4120903172966942e-05,2
16.000000000000057,19.480519480519476,30.19607843137255,62.0,66.0,77.0,7.060451586483471e-06,1
15.658168493618575,67.52922673656619,60.619061238758064,50.19286871961102,77.43435980551052,154.57860615883305,0.004356298628860302,617
356.6871165644172,35.129310344827594,36.392156862745104,62.0,60.2,92.80000000000001,3.5302257932417356e-05,5
16.58823529411768,17.85714285714285,37.333333333333336,78.2,82.9,95.2,7.060451586483471e-05,10
22.566371681415944,55.392156862745104,20.0,22.75,33.375,51.0,0.00011296722538373554,16
32.33215547703179,22.998780983340104,29.24539512774807,57.42424242424243,66.66666666666667,74.57575757575758,0.00023299490235395456,33
27.01754385964915,27.22929936305733,24.627450980392158,45.7,53.400000000000006,62.800000000000004,7.060451586483471e-05,10
23.021868787276333,21.560222888984132,28.590686274509803,57.1875,63.21875,72.90625,0.00022593445076747107,32
29.67418546365917,33.07543520309478,28.963585434173666,49.42857142857142,61.51020408163265,73.85714285714285,0.0003459621277376901,49
22.10526315789474,33.92857142857142,21.96078431372549,37.0,44.0,56.0,1.4120903172966942e-05,2
5.486111111111086,47.16157205240176,25.658263305322134,34.57142857142857,37.39285714285714,65.42857142857143,0.0003953852888430744,56
38.370672097759666,27.097130242825596,37.39938080495356,69.52631578947368,86.05263157894737,95.36842105263158,0.00013414858014318596,19
21.47443519619503,25.632429137458097,29.92248062015504,56.74418604651163,63.74418604651163,76.30232558139535,0.0003035994182187893,43
30.422535211267586,33.56973995271868,20.73529411764706,35.125,44.125,52.875,5.648361269186777e-05,8
10.97142857142859,31.13879003558718,38.89273356401384,68.29411764705883,73.94117647058823,99.17647058823529,0.00012002767697021901,17
41.43426294820716,34.2650978352727,35.072959416324665,58.7906976744186,79.95348837209302,89.43604651162791,0.0012143976728751572,172
10.0,22.5,31.372549019607842,62.0,65.0,80.0,7.060451586483471e-06,1
20.9956218582779,46.70672288000808,29.644514294267328,40.286259541984734,52.6412213740458,75.59351145038168,0.003699676631317339,524
28.86956521739131,56.836902800658976,19.836601307189543,21.833333333333332,35.666666666666664,50.58333333333333,8.472541903780166e-05,12
41.27103910035879,82.272201594741,62.248744908591455,28.14009661835749,117.96940418679549,158.7342995169082,0.004384540435206236,621
39.780219780219795,28.173374613003094,42.222222222222214,77.33333333333333,97.44444444444444,107.66666666666666,6.354406427835124e-05,9
22.52613240418117,52.54004576659038,29.546991210277213,35.758620689655174,50.62068965517241,75.34482758620689,0.00020475309600802066,29
31.814516129032256,30.598396051819858,30.27077497665733,53.57142857142857,66.09523809523809,77.19047619047619,0.00014826948331615291,21
27.652173913043498,41.516245487364635,21.725490196078432,32.4,43.0,55.400000000000006,3.5302257932417356e-05,5
49.09090909090912,39.63963963963964,43.529411764705884,67.0,103.0,111.0,2.8241806345933884e-05,4
34.87951807228916,28.400342172797266,26.96655132641292,49.23529411764706,60.588235294117645,68.76470588235294,0.00012002767697021901,17
30.782608695652186,34.63855421686747,21.699346405228756,36.166666666666664,46.0,55.33333333333333,4.236270951890083e-05,6
37.95379537953795,28.79923962403633,45.84362139917695,83.23456790123457,104.53086419753086,116.90123456790123,0.0005718965785051612,81
31.666666666666686,20.16806722689075,70.0,142.5,161.5,178.5,1.4120903172966942e-05,2
34.20779220779218,35.386029411764696,38.78787878787879,63.909090909090914,83.86363636363636,98.9090909090909,0.00015532993490263638,22
43.19719953325557,30.67287043664997,34.240196078431374,60.53125,79.8125,87.3125,0.00022593445076747107,32
18.187434984080937,42.86196832946009,34.80133540226642,50.7062350119904,62.23621103117505,88.74340527577937,0.005888416623127215,834
357.8476084538376,43.45094248429192,48.44015218027509,71.77611940298507,69.85074626865672,123.52238805970148,0.0004730502562943926,67
34.39868204283363,48.95161290322581,20.26143790849673,26.375,40.875,51.666666666666664,0.00016945083807560333,24
35.1219512195122,46.83281412253375,28.32352941176471,38.400000000000006,58.2,72.22500000000001,0.00028241806345933885,40
37.200000000000045,20.161290322580637,72.94117647058823,148.5,171.75,186.0,2.8241806345933884e-05,4
33.723216536425525,39.06963001871246,32.111532785157074,49.89247311827957,67.8736559139785,81.88440860215054,0.013132439950859257,1860
43.33873581847644,17.670644391408114,56.271823798012356,118.13698630136986,136.45205479452054,143.4931506849315,0.0005154129658132934,73
29.176470588235304,47.842401500938095,20.90196078431373,27.8,40.2,53.300000000000004,7.060451586483471e-05,10
50.176263219741486,37.84464868069967,29.07132083602672,46.07692307692308,69.53846153846155,74.13186813186813,0.0006425010943699959,91
19.163498098859293,51.06796116504854,20.19607843137255,25.200000000000003,33.6,51.5,7.060451586483471e-05,10
45.24361948955914,32.65151515151515,28.75816993464052,49.388888888888886,67.44444444444444,73.33333333333333,0.00012708812855670247,18
